CASE,SERIAL,REF,QUESTNNR,MODE,STARTED,C001,C002,C003,C004,C005,C006,C007,C008,C009,C010,C011,C012,C013,C014,C015,C016,C017,C018,C019,C020,C021,C022,C023,C024,C025,C026,C027,C028,C029,C030,C031,C032,C033,C034,C035,C036,C037,C038,C039,C040,D001_01,D002_01,D003_01,D004_01,D005_01,D006_01,D007_01,D008_01,D009_01,D010_01,D011_01,D012_01,D013_01,D014_01,D015_01,D016_01,D017_01,D018_01,D019_01,D020_01,D021_01,D022_01,D023_01,D024_01,D025_01,D026_01,D027_01,D028_01,D029_01,D030_01,D031_01,D032_01,D033_01,D034_01,D035_01,D036_01,D037_01,D038_01,D039_01,D040_01,EX01_01,EX01_02,EX01_03,EX01_04,EX01_05,EX01_06,EX01_07,EX01_08,EX01_09,EX01_10,EX01_11,EX01_12,EX01_13,EX01_14,EX01_15,EX01_16,EX01_17,EX01_18,EX01_19,EX01_20,F001_01,F002_01,F003_01,F004_01,F005_01,F006_01,F007_01,F008_01,F009_01,F010_01,F011_01,F012_01,F013_01,F014_01,F015_01,F016_01,F017_01,F018_01,F019_01,F020_01,F021_01,F022_01,F023_01,F024_01,F025_01,F026_01,F027_01,F028_01,F029_01,F030_01,F031_01,F032_01,F033_01,F034_01,F035_01,F036_01,F037_01,F038_01,F039_01,F040_01,Q001_01,Q001_02,Q001_03,Q001_04,Q002_01,Q002_02,Q002_03,Q002_04,Q003_01,Q003_02,Q003_03,Q003_04,Q004_01,Q004_02,Q004_03,Q005,Q006,Q007_01,R001_CP,R001x01,R001x02,R001x03,R001x04,R001x05,R001x06,R001x07,R001x08,R001x09,R001x10,R001x11,R001x12,R001x13,R001x14,R001x15,R001x16,R001x17,R001x18,R001x19,R001x20,R001x21,R001x22,R001x23,R001x24,R001x25,R001x26,R001x27,R001x28,R001x29,R001x30,R001x31,R001x32,R001x33,R001x34,R001x35,R001x36,R001x37,R001x38,R001x39,R001x40,TIME001,TIME002,TIME003,TIME004,TIME005,TIME006,TIME007,TIME008,TIME009,TIME010,TIME011,TIME012,TIME013,TIME014,TIME015,TIME016,TIME017,TIME018,TIME019,TIME020,TIME021,TIME022,TIME023,TIME024,TIME025,TIME026,TIME027,TIME028,TIME029,TIME030,TIME031,TIME032,TIME033,TIME034,TIME035,TIME036,TIME037,TIME038,TIME039,TIME040,TIME041,TIME042,TIME043,TIME044,TIME045,TIME046,TIME047,TIME048,TIME049,TIME050,TIME051,TIME052,TIME053,TIME054,TIME055,TIME056,TIME057,TIME058,TIME059,TIME060,TIME061,TIME062,TIME063,TIME064,TIME065,TIME066,TIME067,TIME068,TIME069,TIME070,TIME071,TIME072,TIME073,TIME074,TIME075,TIME076,TIME077,TIME078,TIME079,TIME080,TIME081,TIME082,TIME083,TIME084,TIME085,TIME086,TIME087,TIME088,TIME_SUM,MAILSENT,LASTDATA,FINISHED,Q_VIEWER,LASTPAGE,MAXPAGE,MISSING,MISSREL,TIME_RSI
375,,,avila,interview,4/23/23 17:21,,2,,2,,1,,2,,,,1,,,,,1,,,,1,2,,,2,2,,,,,,,,,2,,,,,,,,,,,HUNGER,,,,,,SADNESS ,,,,,SAD,,,,HOPE FOR BETTER DAYS ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HOPELESS,,HUNGER,,,,,,,,,,,,,,,,,,HOPELESSNESS,,,SAD ,HOPELESS,,,,,,,,,HOPE,,,,,,,,,,,,,,,,,,,,,,,,123,4,12,22,26,6,35,17,2,25,21,8,23,9,11,29,7,37,10,38,30,32,36,31,5,16,20,39,18,27,34,40,13,15,3,19,28,33,14,24,1,28,10,,,3,11,,,7,12,,,4,11,,,3,,,,,,,,4,12,,,,,,,,,14,44,,,,,,,4,25,4,11,,,,,16,18,3,13,,,,,,,,,,,,,,,,,62,11,,,,,,,,,,,,,,,,,247,,4/23/23 17:27,0,0,17,72,0,0,1.25
376,,,avila,interview,4/23/23 18:44,2,,2,,,2,2,2,2,,,1,2,1,,,,1,1,,,,,,,,2,,,1,,,,1,1,1,,,,2,,,,,,,,,,,,This looks like a 3 -5 year old female child.,,They look like a 1-3 year old male child.,,,,"Young male child, around 5 or 6 years old. ",This child appears to be male and 4-6 years old,,,,,,,,,,,This looks like a 4-6 year old male child.,,,,They look like a 1-3 year old female child,They look like a 2-4 male child,This looks like a 3-5 year old male child.,,,,,,,,,,,,,,,,,,,,,,,,,,,This child looks startled and shocked.,,,This child looks as if they had been crying briefly but are no longer upset.,"This child looks curious, playful, and a little wary.",This child looks as if they're in despair and feeling hopeless. ,This child looks bored.,,,,"This child is upset and tearful, it feels like they are sad about something that is not new to them.",,,,,,,,,,,,,,"This child likes like they are imporing you to understand them, or are requesting something. ",,,,,,,,,,,,,This child looks like they've been crying recently but may not actively be in distress. ,,,,,,,,,,,,,,,,,,,124,18,8,12,40,36,7,30,35,27,19,3,13,14,34,9,6,1,23,32,24,4,39,29,5,11,2,17,10,20,31,26,28,21,25,22,38,16,15,33,37,70,78,2,,,,2,49,,,,,2,67,4,61,3,81,2,45,,,,,4,57,3,252,7,44,,,,,,,6,121,3,48,,,,,,,,,,,,,,,1,99,,,,,2,23,,,,,,,3,33,2,67,2,41,,,,,,,4,89,,,,,,,997,,4/23/23 19:07,0,0,3,82,0,0,0.84
378,,,avila,interview,4/23/23 20:42,2,2,1,1,1,1,2,1,2,2,1,1,1,1,2,1,2,2,2,2,2,1,1,1,2,1,1,2,1,1,2,2,2,2,1,1,2,1,2,1,,,Female and looks maybe 2 or 3 years old,possible 5 or 6 and male,6 or 8 female,Has an attitude and trying to get attention,,Female 4 to 6,,,Mean mugging like crazy,Been through some shit,Female and 12 to 14 years of age,1 ro 2 and looks male,,Someone didn't get their ice cream,,,,,,Looks female about age 7 to 9,"Age between 6 and 9, gender appears to be male",Male age 4 or 5 ,,"Appears to be between age 3 and 5, gender appears male",Male and 6 to 8,,9 to 11 and female,7 or 8 and male,,,,,Male and 3 to 6,5 to 7 and looks male,,Feed this kid,,Age appears to be 3 and gender seems to be female,6,6,4,4,2,4,2,4,5,4,3,5,5,2,2,4,4,3,2,7,Been digging holes and looking evil as hell,Feeling dehydrated and want some damn food,,,,,Peek-a-boo lol,,Looking like their lost and got on the wrong bus......................,Stub their toe,,,,,Looks hungry and sick,,Appears to be a combination of anger and sadness,Looks sick and weak and probably losing hope,"Scared, sick, ",Someone looking like that sassy and don't want to eat rheir vegetables,sick and hungry,,,,Feeling of hunger,,,About to turn super saiyan or a vampire,,,Hunger and sadness maybe in some sort of pain,Needs medical attention,Looks someone just needs to defecate to feel better,Probably sick and hungry,,,Plotting something,,Got smacked in the back of their head and stunned by it,,Not bad,Random,Eh kind of,"Blue, Red, Feelings, Describe",2,2,2,4,2,2,2,4,I am a damn male,White/Hispanic,34,6,3,4,125,17,33,25,23,26,40,31,24,4,15,22,13,6,11,32,3,37,8,2,1,12,35,27,20,9,38,18,14,10,29,5,21,16,36,30,28,7,34,39,19,8,3,3,22,2,23,3,23,4,70,3,62,3,19,3,12,2,19,2,26,2,12,2,20,2,17,2,23,3,27,3,15,3,17,13,53,3,18,3,18,2,28,2,12,3,22,3,47,14,18,7,38,2,53,4,13,3,18,3,25,2,19,3,50,2,19,4,49,2,19,3,12,3,19,3,48,3,11,3,26,2,32,211,42,30,81,2,,1564,,4/23/23 21:09,1,0,87,87,0,0,1.25
379,,,avila,interview,4/23/23 23:51,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,1,1,7,1,1,1,7,7,1,1,7,7,1,7,7,7,1,1,This child is waiting ,This child is feeling content ,This child is surprised ,Child is sad,This child is grieving a loss ,This child is feeling sorrow ,This child is curious ,Child is sad,This child is sad,This child is mourning ,This child is unsure about something,This child is mourning ,Person is grieving ,This child is sad ,This child is grieving ,This child is grieving ,This child is grieving something ,Child is sad,This child feeling sad and hungry ,This child is watching ,This child is watching ,This child is feeling impatient ,This child is hungry ,This child is waiting ,This child is sad ,This child is feeling sad ,This child is sad,Child is happy,Child is tired,Child is cold ,This child is sad,This child is sad ,This child is sad ,This child is grieving for something ,Child is curious ,This child is sad ,This child sad ,This child is sad,This child is grieving and watching ,The child is grieving for something.,To long ,Color ,Yes,Don't know ,1,1,1,1,1,1,5,5,Female ,None ,52,4,1,7,126,40,5,34,6,11,16,15,12,20,27,17,25,39,38,9,33,21,3,13,23,26,19,2,22,31,7,14,10,36,1,37,24,32,35,30,4,8,18,29,28,5,2,2,23,3,52,2,15,3,11,7,41,2,19,2,15,3,12,3,13,4,16,3,39,2,12,2,11,2,12,2,11,2,18,2,13,2,12,2,32,2,22,2,21,2,58,3,43,2,12,2,15,2,86,2,19,1,12,3,18,2,18,3,12,3,11,5,14,2,31,2,20,2,11,2,12,3,11,2,32,6,36,87,31,26,131,3,,1279,,4/24/23 0:13,1,0,87,87,0,0,1.52
390,,,avila,interview,4/24/23 16:11,2,1,2,2,2,2,1,1,2,1,2,2,2,2,1,1,2,2,2,2,2,1,1,2,2,2,1,1,2,2,1,1,2,1,2,2,2,2,2,1,,The child appears to be a 5 year old male. ,,,,,The child appears to be male approximately 7 years of age. ,The child appears to be female and 4 years old.,,The child appears to be female approximately 5 years of age. ,,,,,Male 10 years old looks like he is scared. ,The child appears to be a mole of approximatly 1 year of age. ,,,,,,The child appears to be female approximately 7 years of age. ,The child appears to be a male approximately 7 years old. ,,,,The child appears to be male and approximately 4 years of age. ,The child appears to be female approximately 5 years of age.,,,The child appears to be a female of 6 years of age. ,Male 5 years old approximately. Looks like he is getting medical care. ,,The child appears to be a 3 year old female. ,,,,,,The young child appears to be female approximately 3 years of age. ,6,6,5,4,2,4,1,3,6,4,2,6,6,6,3,6,6,6,4,4,"The child appears to have feelings of lonliness, like he is missing someone. ",,The child looks like he is scared and hungry ,"The child appears to be having the experience of change of environment around them, and is feeling unsure of what is going on around them. ",The child appears to be experiencing feelings of being unsure and about new surroundings and being scared of the change that is going on in their lives. ,The child appears to be experienceing a change in environment and feeling scared and lost. ,,,The child appears to be experiencing a loss and is feeling sad.,,The child appears to be having the experience of haveing a change in their environment around them but is happy but unsure of where they are at. ,The child appears to have feelings of being scared and unsure of what is going to happen next. ,The child seems to be experiencing a loss and is feeling sad. ,The child appears to be scared. ,,,The child appears to be feeling sad like they have just experienced a loss or a change in environment. ,The child appears to be experiencing a loss and is feeling scared. ,The child appears to be having the feelings of hunger and being scared due to what is going on around him. ,The child appears to be experiencing a same day over again and is looking at the camera like they are bored. ,The child seems to be showing feelings of being unsure about what is going on around him. ,,,The child appears to be experiencing  a new environment and is feeling unsure but confident in their new environment. ,The young child appears to be scared and missing people as evident by the tears and the way she is looking at the camera as if she is looking for someone. ,The child appears to be experiencing a change of environment and is feeling bored and unsure of what is going on. ,,,"The child appears to be tired, like the child just wants to go home and be with family and not in a group of people. ",The child appears to experiencing a new environment and is unsure of the place that they are currently in. ,,,The child appears to have feelings of being scared of her environment around her. ,,The child appears to be experiencing a new invironment and appears to be feeling sad and unsure of what is going on. ,The child appears to be experiencing being in a new environment and is having feeling of being unsure and angry at their current situation. ,The child appears to be experiencing a chang in living situations and is scared. ,The child appears to have feelings of loneliness. ,The child appears to be experiencing a seperation from family and is feeling sad but content with the environment that they are in. ,,Repetative ,If i got tired of thinking about what they were feeling i chose describe.,no,no,3,2,3,3,4,3,1,4,male,white,34,6,1,4,129,3,15,32,1,19,40,25,12,2,38,33,23,21,14,5,13,29,39,36,17,11,4,34,8,30,35,9,18,31,27,10,6,26,37,24,20,16,7,22,28,4,5,4,157,5,24,37,71,7,64,3,78,11,92,4,21,3,37,9,62,4,19,3,51,8,94,6,32,4,76,12,67,3,33,4,50,7,104,4,96,2,77,3,57,4,26,5,41,2,46,7,69,3,82,4,21,4,19,3,63,3,55,6,19,3,41,5,71,5,23,3,67,3,57,4,46,3,100,3,59,4,48,328,61,40,168,2,,2609,,4/24/23 17:03,1,0,87,87,0,0,0.77
394,,656,SONA,interview,4/24/23 17:48,2,2,1,2,2,2,2,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,2,1,2,2,1,1,2,2,2,2,2,2,1,2,1,2,2,2,,,This is a boy and he is around 4,,,,,This is a girl and she is around 7,,,This is a girl and she is around 5. ,,,,,,I am not sure of the gender of this person because I can not recognize masculine or feminine facial features because the kid is around maybe 4-6 years old.,,,,,This is a boy around 6,,The little boy is around 5 years old and the little boy has short hair and big brown eyes. ,,,This is a boy and he is 7,This person is a boy around 8,,,,,,,This is a boy around 3,,This is a boy around 7,,,,3,7,4,3,1,1,1,1,6,7,3,3,6,7,2,3,7,7,2,2,This person looks very mad,This person is feeling annoyed,,This person is feeling confused or annoyed,This person is feeling upset,This little girl is feeling tired,This person is feeling comfortable or relaxed,,This boy looks bored or annoyed the camera man is takiing pics of him,This boy is feeling frusterated,,This person is feeling sad ,This person is feeling sad or frusterated,This boy is feeling upset,This person is feeling sad,This person is feling upset,,This person is feeling bored and has probably experienced living in a village,"The feelings of this person are anxiety, hunger, or being uncomfortable. ",This boy is feeling annoyed,This person is feeling uncomfortable,,This boy is hungry and probably annoyed someone is taking a picture of him,,This girl is feeling tired,This boy looks bored,,,This person is feeling tired or bored,This person is feeling bored ,This person is feeling tired or relaxed,This person is feeling uncomfortable or confused,This person could be feeling sad or needing affection,This person is feeling sad,,This boy is feeling annoyed,,This person is feeling sad or tired,This person is feeling tired,This person is feeling tired,repetitive,i just randomly selected,i liked the describe,"yes, one of the decks asked to imagine their experiences and how they feel and the other one wanted me to guess their age and gener",2,3,3,4,3,3,4,3,Female,White,18,4,3,4,130,24,19,17,11,27,32,12,33,4,31,13,7,38,16,29,10,25,30,6,3,8,5,21,2,14,34,39,40,1,26,20,36,9,15,23,18,22,28,37,35,3,2,2,12,2,11,5,13,3,12,2,11,1,13,1,19,3,13,3,17,3,13,3,38,2,13,2,11,3,12,3,12,63,13,13,74,2,31,3,40,2,11,2,12,2,11,2,25,8,37,1,14,2,17,3,11,2,20,2,14,2,14,2,14,3,28,8,14,3,11,2,11,3,17,2,11,2,12,3,11,3,11,93,48,29,54,22,1,1003,,4/24/23 18:07,1,0,88,88,0,0,1.56
395,,654,SONA,interview,4/24/23 18:03,2,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1,2,1,2,1,2,1,1,1,1,1,2,2,1,1,2,2,1,2,1,2,,,Looks like a 5 year old boy. ,this looks like a 6 year old boy who's been through alot. ,This looks like a 7 year old boy. ,Looks like a 5 year old girl ,This looks like a 9 year old boy looking for something. ,Looks like a 7 year old sad girl. ,Looks like a 8 year old boy. ,The little sad 8 year old girl is crying. ,Looks like a 6 year old girl. ,7 year old girl is crying. ,,A seven year old boy. ,,"Looks like a toddler, maybe 3 year old emotional little boy. ",Looks like a 5 year old boy. ,Looks like a 7 year old boy. ,,Looks like a 5 year old boy. ,,This looks like a 10 year old boy. ,,Looks like a 6 year old boy. ,,Looks like a 6 year old boy. ,This person looks like a 8 year old boy. ,Looks like a 9 year old girl. ,A 10 year old girl. ,This looks like a 9 year old thin sad boy.,,,"Looks like a baby, maybe 9 months old, a baby girl. ",Looks like a 4 year old girl.,,,this looks like an 8 year old girl,,Looks like a 5 year old girl. ,,6,6,6,5,3,4,3,3,2,2,2,4,3,3,4,4,6,5,4,6,"He probably is hungry, and sad that he can't get food. ",This person probably feels dirty because of the dirt on their face. ,,,,,,,,,,,The person in the photo is crying so they seem upset or sad. ,,"He looks very sad, crying or begging for something. ",,,,"He looks like he's in pain because he hasnt had food, and he's probably looking around to find some. ",,"This person seems upset and sad, probably didnt want any pictures taken. ",,"They are eating so they are probably hungry, they have a hospital bracelet so they can also be sick. ",,This child looks very emotional and looks like they've been crying. ,,,,,,"This person doesnt look so good, theyre probably sick or under the weather. ","He looks like he's injured or got like a shot or something medical, and is probably in pain, ",,,"He looks upset, and probably didnt ant his picture taken.","This person looks upset, like maybe sad. ",,"This little kid is crying, probably injured or hungry. ",,"He looks like he's crying for something, maybe food or attention or affection. ",Simple ,I chose decribe then feel as a pateern but then just chose random ,I think I liked to describe the most. ,"Yes, it was hard to desribe feel tho",4,3,3,5,4,4,4,2,Female,Hispanic/latino,20,4,2,3,131,21,30,38,10,12,22,4,25,15,8,28,16,32,33,13,23,5,27,1,7,31,39,3,2,29,34,6,17,40,19,11,18,35,24,14,26,36,37,20,9,8,25,1,48,2,98,2,18,3,83,17,94,14,48,5,18,3,29,2,19,9,31,2,14,4,22,2,40,2,57,9,56,4,31,5,41,2,15,4,50,3,17,9,85,3,56,5,102,7,105,3,52,2,12,3,21,4,55,17,23,5,78,2,57,30,45,252,41,7,118,1,130,2,159,2,22,12,58,4,29,1,32,304,19,33,174,3,2,2153,,4/24/23 18:55,1,0,88,88,0,0,0.92
399,,,avila,interview,4/25/23 7:12,1,1,1,1,1,1,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,2,1,1,1,1,2,1,2,1,2,2,1,1,1,2,2,2,1,Curious 5-6 year old boy.,Female child approximatley 5-6 years old.,This little boy is a supprised 2-3 years old,Young boy around 6 years old,Young male around 3-4 years old.,This little girl seems to be around 3-4 years old,The curious little boy seems around 3-4 years old,,,,,,This young girl appears to be around 12-13 years old,,,,A small boy around 5 years old,,,,,Young male approximatley 7-8 years old.,,a 5 year old boy,Appears to be a 2 year old girl,This young boy appears to be around 4 years old,This young child appeards to be a little boy between 3-4 years old,,The poor bored young girl around 11 years old,, A six year old boy,,,Appears to be a 2 year old girl,This boy looks to be around 3-4 years old,This appears to be a little boy around 4 years old,,,,This appears to be a young boy between 2-3 years old,4,5,3,4,5,5,4,6,5,6,3,3,4,3,4,5,3,4,6,3,,,,,,,,"Life can be very serious sometimes, but you will get through it","Bordem, beginings of the realization of what life is like sometimes","Young child appears upset, almost as if they were in a timeout",This little girls looks bored,"Young chid appears upset, possibly due to sickness or pain, or fatigue.",,Feeling of fear setteling after a traumatic event.,This seems to be the faec of a child told no,"Fear and pain, looking for reassurance",,bored while waiting for the line to move,"Distress is apparent, as is the poor physcial condition liekly adding to the discomfort seen here","Defiance or annoyance, either way they are not interested","The emotion of fatigue, bordem, and hunger",,They look annoyed at the intruptiuon of the photograph being taken,,,,,"Resignation, submission to the current events",,They look cold and bored,,Nervous about what is happening,She doesn't look like she feels very well,,,,This child appears to be tired.,"Bordem, irriatation at being told to stand for pictures when there is playing to do",This child appears to be content after receiving something to soothe,,"Tedious, and why was nearly every child crying","random, or changing when I got tired of the other deck",no,"no, almost every child was in tears",2,2,3,4,3,2,4,4,non-binary,caucasian,42,2,1,3,132,14,22,2,12,1,10,5,37,39,13,33,7,19,6,3,15,40,27,11,23,30,17,36,20,32,25,26,21,34,16,38,9,4,29,28,31,24,18,8,35,10,38,2,28,3,66,6,32,2,17,3,30,3,24,3,28,3,38,3,26,2,65,4,22,2,67,3,30,4,46,3,34,2,20,3,18,2,16,11,32,4,26,2,22,3,122,3,35,3,12,2,15,3,21,56,33,3,31,3,27,3,13,5,16,4,14,3,18,3,12,2,22,3,25,5,29,3,37,3,38,4,30,126,24,41,84,24,,1613,,4/25/23 7:42,1,0,87,87,0,0,1.07
407,,655,SONA,interview,4/25/23 16:01,1,1,2,2,1,2,1,1,2,1,1,2,2,1,1,1,1,2,1,1,2,2,2,1,1,2,2,1,2,1,1,2,2,1,1,2,2,1,1,2,This looks like a little boy that is about five years old.,He looks like he hasnt had water to take a bath and he looks lost.,,,This looks like a little boy that is about three or four.,,This looks like a little four year old boy that is surounded buy a burlap sack.,This looks like a boy that is about six years old.,,This looks like a little boy that is around the age of six.,It looks like a three year old little girl that is holding her scarf in her hand.,,,This looks ike a little boy that is about two years old.,This looks like a little boy going through struggles and upset and he looks about 5 years old.,This looks little boy that is about one year old.,A little five year old boy that has tears running down his face.,,This looks like a two year old boy that is very skinny and in pain.,This looks like a little boy that is around the age of three.,,,,I feel like this looks like a young boy that is probably about four years old because he just looks so young in the face.,Looks likea young one year old boy,,,she looks like a five year old girl,,This looks like a little boy that is about five years old.,This young boy looks to be about six or seven years old.,,,A young two year old boy that looks very upset.,It looks like a little three year old boy standing next to a wall.,,,This looks like a little boy that is about two years old.,This looks like a little boy that is about three or four years old.,,4,6,4,1,3,4,5,3,3,4,5,3,2,3,5,6,5,6,3,6,,,"I feel like this child is feeling shock, his face looks like he is shocked about soemthing that he has just seen.","This little boy looks sad, like hes trying to hold back tears but he can't anymore.",,She looks very sad and like she is holding back tears.,,,This little boy looks sad and lost.,,,"This child looks really sad and lost, like they are trying to figure out something.",I feel like this child is feeling sadness and is going through lots of things in thier life.,,,,,This little boy looks sad and lost like he needs some assistance.,,,This looks like a little child that has no idea all the troubles happening in the world and he looks innocent.,This little boy looks lost and like he needs some help.,He looks like he hasnt been able to take a bath for a while and that he is very hungry based on how the crumbs are on his face.,,,"This little boy looks curious, like hes trying to figure something out but cannot.","This little boy looks hopeless, like he hasn't had stability in a while.",,This person looks lost about life and trying to figure out something.,,,"This little boy looks lost, like he doesn't know what his next move is.",This little child looks very sad with those tears rolling down thier face.,,,This child looks upset and that he needs something to give him joy.,I feel like this little child has been throuhg alot in his life and he is currently sad in the picture.,,,He looks very sad and crying.,Easy,Just what I felt like picking,Yes,Not really.,2,2,3,4,3,3,3,4,Female,Native Indian,19,5,4,3,133,31,37,24,3,13,15,21,39,30,8,36,34,32,35,11,9,17,7,19,26,4,27,33,25,40,2,28,6,23,38,22,14,5,12,1,16,29,10,18,20,1639,96,3,22,5,36,3,39,2,29,3,100,4,32,40,88,3,25,3,17,16,76,4,56,3,44,3,40,4,173,522,56,4,54,3,27,3,21,16,140,6,17,4,44,4,23,4,37,3,43,4,151,3,34,3,34,963,415,4,35,4,20,4,33,3,38,27,29,874287,49,33,20,3,40,4,42,12,23,4,20,4,256757,67,27,26,74,8,2,1840,,5/8/23 19:50,1,0,88,88,0,0,0.75
408,,,avila,interview,4/25/23 18:22,,1,2,2,2,1,,,,,,,,,,,1,,2,1,,,,2,,,1,,,,,2,,2,,,,1,,,,10 year old boy,,,,5 year old girl ,,,,,,,,,,,9 year old boy,,,4 year old boy,,,,,,,,,,,,,,,,,,3 year old boy,,,,,,,,,,,,,,,,,,,,,,,,,Astonishment ,Confusion ,Sadness ,,,,,,,,,,,,,,In pain. Hunger pain,,,,,Bored,,,,,,,,Confusion ,,Fear,,,,,,,,,,,,,,,,,,,,,,,,,134,20,24,19,2,38,17,3,5,34,6,4,32,27,7,37,28,29,21,26,9,10,11,8,1,12,13,22,25,16,14,39,33,23,40,31,30,18,36,35,15,12,15,,,3,17,3,33,5,12,9,12,12,28,,,,,,,,,,,,,,,,,,,,,3,14,,,2,19,5,25,,,,,,,6,18,,,,,3,,,,,,,,,,16,17,,,4,12,,,,,,,4,19,,,,,,,,,,,306,,4/25/23 18:27,0,0,55,78,0,0,1.12
409,,,avila,interview,4/25/23 20:13,1,2,1,2,2,1,2,1,2,2,2,2,1,1,2,2,1,1,1,1,2,2,2,1,2,2,1,2,2,1,2,2,1,2,1,1,2,2,1,2,LOOKS LIKE A 9 YR OLD MALE ,,shocked little 5 yr old boy,,,sad 3 year old female. ,,sad,,,,,very sad 15 yr female. ,scared little 6 yr old. ,,,sad,lost,hurting 5 yr oold boy,3 YR OLD BOY FEELING DIRTY AND HUNGRY. ,,,,wondering what you are thinking. ,,,LOOKS HUNGRY AND SAD.,,,"feels very misserable, 10 yr old boy. ",,,why are they all black,,LOOKS LIKE A 4 YR OLD BOY ,feels hopeless. ,,,just finished crying.,,7,5,4,4,1,3,3,3,3,5,3,7,4,3,5,3,3,3,5,3,,blank,,upset and sad,very very sad,,shy,,"HAS HAD A ROUGH CHILDHOOD, FEELS NEGLICTED. ",just miserable. ,mad,PAIN.,,,feels pain alot of it. ,PAIN SCARED. ,,,,,sad,DEOS NOT KNOW WHAT HE FEELS. ,very hunrgy and dirty,,HURT.,sad,,lost.,mad ,,sick,confused,,feels hurt sad. ,,,shy,didnt get what he wanted,,stressed,to many of the same questions. ,feel,yes ,not much. ,2,2,4,3,4,3,5,3,male,hispanic,30,4,3,5,135,25,12,27,1,35,9,22,16,20,28,33,39,18,31,32,11,26,4,38,5,10,17,23,6,37,40,29,21,7,2,19,3,24,30,36,34,8,15,13,14,8,2,3,31,6,11,3,14,5,19,100,11,6,12,59,11,4,11,2,41,4,12,162,12,3,12,3,12,2,12,2,11,87,12,3,11,6,11,4,11,51,27,5,12,30,29,4,11,5,11,16,25,139,11,3,17,949,11,46,20,2,20,6,11,47,11,7,11,2,11,2,22,3,12,2,35,7,11,4,14,3,14,85,28,68,111,16,,1082,,4/25/23 20:58,1,0,87,87,0,0,1.37
410,,,avila,interview,4/25/23 20:33,,,,,,,,,,,,,,2,1,,1,,,,2,,2,,,,,,,2,,,,,2,,,,,1,,,,,,,,,,,,,,,This 4 year old little girl is appears to be feeling sad.,,This 4 year old little boy appears to be upset ,,,,,,,,,,,,,,,,,,,,,,,This little 3 year old boy is sad. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,this child appears to be sad and crying from something traumatizing HE IS FAKING IT ,,,,,,,This young child is expierencing hardship and grief ,,This person is hungry and feeeling thankful.,,,,,,,This person appears to be suffering from the weather and using whatever they can find,,,,,This person is feeling sad and depressed,,,,,,,,,,,,,,,,,,,,,,,,136,35,30,14,40,23,17,15,21,26,25,32,7,31,19,9,10,13,4,3,27,29,22,18,1,37,36,34,33,20,5,38,28,24,2,12,6,11,16,8,39,102,3,,,,,,,,,,,,,,,,,,,,,,,,,,,4,192,8,58,,,4,76,,,,,,,5,147,,,4,32,,,,,,,,,,,,,6,149,,,,,,,,,6,29,,,,,,,,,13,210,,,,,,,355,,4/25/23 20:50,0,0,44,82,0,0,0.61
